threshold,precision,recall,f1
0.3,0.4588788183954347,0.9149933065595717,0.6112228929130338
0.31,0.46385748544021926,0.9062918340026773,0.6136415137094947
0.32,0.46869534802378454,0.8969210174029452,0.6156673558465426
0.33,0.4716375312165537,0.8848728246318608,0.6153130090760996
0.34,0.47508184794470715,0.8741633199464525,0.6156021682771624
0.35,0.4801189149015236,0.8647925033467202,0.6174432497013143
0.36,0.4870820668693009,0.85809906291834,0.6214251090644692
0.37,0.4904557849629918,0.8427041499330656,0.6200443240581137
0.38,0.4964114832535885,0.8333333333333334,0.6221889055472264
0.39,0.502258726899384,0.8186077643908969,0.6225502672435734
0.4,0.5065594583157004,0.8012048192771084,0.6206896551724138
0.41,0.5123644251626898,0.7904953145917001,0.6217425638325875
0.42,0.518800358102059,0.7757697456492637,0.6217811158798283
0.43,0.5216191352345906,0.7590361445783133,0.6183206106870229
0.44,0.5288782816229117,0.7416331994645248,0.6174421844524938
0.45,0.5339233038348082,0.7269076305220884,0.6156462585034014
0.46,0.5382278481012658,0.7115127175368139,0.612856731046411
0.47,0.5435010482180294,0.6941097724230254,0.6096413874191652
0.48,0.5474769397721106,0.6753681392235609,0.6047347917290979
0.49,0.5544275239706712,0.6579651941097724,0.6017753290480563
0.5,0.5558823529411765,0.6325301204819277,0.5917345021916093
0.51,0.5576093653727665,0.6057563587684069,0.5806865575874238
0.52,0.5599743425272611,0.5843373493975904,0.5718964952505732
0.53,0.5701754385964912,0.5655957161981259,0.5678763440860215
0.54,0.5735607675906184,0.5401606425702812,0.5563598759048604
0.55,0.5764094955489614,0.5200803212851406,0.5467980295566502
0.56,0.5833985904463587,0.49866131191432395,0.5377120173222664
0.57,0.5884297520661157,0.47657295850066933,0.5266272189349113
0.58,0.5957634598411298,0.45180722891566266,0.5138941758660068
0.59,0.6094961240310077,0.4210174029451138,0.49802058590657167
0.6,0.6157112526539278,0.38821954484605087,0.47619047619047616
0.61,0.6218390804597701,0.36211512717536815,0.4576988155668359
0.62,0.6256281407035176,0.3333333333333333,0.4349344978165939
0.63,0.6289893617021277,0.31659973226238286,0.42119323241317896
0.64,0.6412103746397695,0.2978580990629183,0.40676416819012795
0.65,0.6521739130434783,0.28112449799196787,0.3928905519176801
0.66,0.6621160409556314,0.2597054886211513,0.3730769230769231
0.67,0.6678832116788321,0.24497991967871485,0.3584720861900098
0.68,0.6805555555555556,0.22958500669344042,0.3433433433433433
0.69,0.6821052631578948,0.21686746987951808,0.3291010665312341
0.7,0.6910755148741419,0.20214190093708165,0.3127912998446401
