model,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.6332282501857934,0.020660518183692363,0.5578057646615908,0.6325335009315166,0.5927822634999065,0.023842130970584612,0.6883825789283884,0.03263963712708087
XGBoost Tuned,0.6315281407075333,0.021943075964815744,0.5561756605740303,0.6325290116944625,0.591714511618885,0.02344508904294884,0.6777082598504316,0.03277416573682574
XGBoost Baseline,0.624748479690584,0.022434446532862515,0.549784291678031,0.6144486094588224,0.5803028838292242,0.02458329291294222,0.6670710346028527,0.030902525420926325
Random Forest,0.6173998513652819,0.023115808236599263,0.546134414229966,0.5575520190343652,0.5517649327655011,0.025012773058834186,0.6567898036584429,0.030370960689635223
HistGradientBoostingClassifier,0.6174058447006929,0.024732206004912514,0.5578133101896642,0.4578281071131961,0.5027907646483474,0.028168773011369882,0.6408876033889678,0.02710924423651986
